Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,mood,score,text
9577,0tikP9agfqFyjJS4NLJHxp,Fabio Brazza;Vulto;Vitin,Golpe Baixo,Golpe Baixo,45,204000,False,0.488,0.589,5,-8.809,1,0.11,0.49,0.0,0.281,0.764,83.103,4,brazil,calm,0.0014170000000000025,Golpe Baixo by Fabio Brazza;Vulto;Vitin with mood calm
93277,6sSFydXXbEIaqR4n3XUQuz,Nikolai Erdenko,Шедевры цыганской песни. Знаменитые цыганские песни,"О, день",1,156000,False,0.308,0.483,10,-15.63,1,0.0742,0.854,0.017,0.423,0.687,91.738,4,romance,calm,0.026457999999999995,"О, день by Nikolai Erdenko with mood calm"
43173,63iWrvtycN9ro0gFD47JpU,Lamb of God,Omens,September Song,51,360419,False,0.288,0.978,7,-5.018,1,0.106,0.000368,0.351,0.0441,0.143,111.583,4,groove,energetic,0.5745330000000001,September Song by Lamb of God with mood energetic
16100,5vBMUlQOjiL6d4j5WndjSd,Bombay Jayashri;Danvendra Arya,LoFi Songs,Zara Zara - LoFi,48,256971,False,0.635,0.486,11,-11.857,0,0.0698,0.707,0.0854,0.422,0.343,130.088,4,classical,neutral,0.22184500000000001,Zara Zara - LoFi by Bombay Jayashri;Danvendra Arya with mood neutral
55148,5Gdm9IjDFObVuuznJ65OP2,Nitin Shukla,Tera chehra unplugged,Tera chehra unplugged,63,74615,False,0.417,0.0762,11,-18.468,0,0.0316,0.958,0.0,0.171,0.502,70.558,5,indian,calm,0.36317044,Tera chehra unplugged by Nitin Shukla with mood calm
11750,4wuKfMYt9XIDiGCIfloBRR,Jessie Ware,Me Before You (Original Motion Picture Soundtrack),"Till The End - From ""Me Before You""",46,180560,False,0.662,0.395,4,-10.694,1,0.0593,0.766,0.00594,0.125,0.534,73.012,4,british,calm,0.11278099999999999,"Till The End - From ""Me Before You"" by Jessie Ware with mood calm"
82336,1gkhXnZAFfaHB78oV8pDXV,The New Pornographers,Electric Version,From Blown Speakers,26,169200,False,0.449,0.861,0,-3.919,1,0.0362,0.177,3.75e-06,0.127,0.693,170.065,4,power-pop,happy,0.07957000000000002,From Blown Speakers by The New Pornographers with mood happy
14278,3k2dqYBVagYIUnyLf29BLS,Cri-Cri,Todo El Año Con Cri-Cri,Nochebuena,37,146826,False,0.3,0.294,9,-9.301,1,0.0372,0.919,0.0,0.282,0.448,202.919,3,children,neutral,0.21754,Nochebuena by Cri-Cri with mood neutral
15386,7xx2Ku5iifWgkc0w2By4TR,demxntia,goodnight,overthinking,54,115793,False,0.708,0.574,7,-5.124,1,0.0343,0.669,0.0,0.0797,0.161,115.055,3,chill,neutral,0.408997,overthinking by demxntia with mood neutral
60613,556h8N4kTDlmK7Q78VRs74,Vybz Kartel,Reggae Love Songs Deluxe Edition,Life Me Say,20,132000,True,0.619,0.499,2,-8.73,1,0.425,0.403,0.000322,0.208,0.278,159.906,4,j-dance,neutral,0.282685,Life Me Say by Vybz Kartel with mood neutral
7291,4kbaX6s8avSd68PUcHxlT0,Old Crow Medicine Show,O.C.M.S.,Hard To Tell,27,195400,False,0.567,0.674,7,-9.445,1,0.0511,0.627,8.16e-05,0.175,0.829,142.4,4,bluegrass,happy,0.006317000000000005,Hard To Tell by Old Crow Medicine Show with mood happy
80431,42WGQxg2lPIFBt8ZRHQ4Q4,Mithoon;Atif Aslam;Armaan Malik;Arijit Singh;Amaal Mallik;Salman Khan;Mohit Chauhan;Yo Yo Honey Singh;Ankit Tiwari;Sonu Nigam;Neeti Mohan;Sabri Brothers;Tulsi Kumar;Rashmi Virag;Dj Chetas,Romantic Mashup 2,Romantic Mashup 2,64,325172,False,0.508,0.761,8,-5.118,0,0.0422,0.0933,2e-06,0.268,0.339,100.011,4,pop-film,energetic,0.23844200000000002,Romantic Mashup 2 by Mithoon;Atif Aslam;Armaan Malik;Arijit Singh;Amaal Mallik;Salman Khan;Mohit Chauhan;Yo Yo Honey Singh;Ankit Tiwari;Sonu Nigam;Neeti Mohan;Sabri Brothers;Tulsi Kumar;Rashmi Virag;Dj Chetas with mood energetic
14831,5LgTDoAcI7S4Cp6g1XRq7L,Rolf Zuckowski,Rolfs fröhlicher Familientag,Ohne dich,29,184666,False,0.643,0.519,7,-7.967,1,0.0458,0.834,6.86e-06,0.0899,0.85,165.608,4,children,calm,0.009060999999999987,Ohne dich by Rolf Zuckowski with mood calm
26443,2G6jCIHp9Y3s4Q3b0XVk1Q,Randy Newman,La Princesa y el sapo (Banda Sonora Original en Español),Cuento de hadas/Camino a casa,23,257092,False,0.2,0.0927,5,-20.991,1,0.0362,0.909,0.169,0.165,0.0555,106.851,5,disney,sad,0.81163354,Cuento de hadas/Camino a casa by Randy Newman with mood sad
98384,2HAPIhrT8BJDHpxMXGCShJ,"Wietske van Tongeren, Schatten",Rebecca - Cast Album,Ich hab geträumt von Manderley,26,211213,False,0.295,0.492,8,-8.925,1,0.0429,0.85,1.51e-05,0.38,0.0739,103.502,3,show-tunes,neutral,0.5388852100000001,"Ich hab geträumt von Manderley by Wietske van Tongeren, Schatten with mood neutral"
58750,14tKBoKXxGakkoEmYuFfor,Nine Inch Nails,Lost Highway,The Perfect Drug,55,315440,False,0.627,0.883,5,-8.988,0,0.0947,0.0207,0.00346,0.323,0.252,149.024,4,industrial,energetic,0.3803930000000001,The Perfect Drug by Nine Inch Nails with mood energetic
2469,0W7KIc2GSB9suYQAaMZ9rF,Casting Crowns;Matthew West,Only Jesus,Nobody (feat. Matthew West),67,206400,False,0.561,0.717,8,-5.72,1,0.0381,0.458,0.0,0.138,0.455,79.993,4,alt-rock,energetic,0.13271400000000003,Nobody (feat. Matthew West) by Casting Crowns;Matthew West with mood energetic
1912,4lazLusb1ZU7Fu4AkS8R0B,Jungle Fire,Jungle Fire,Quémalo,16,220986,False,0.574,0.893,4,-6.784,0,0.0668,0.077,0.895,0.192,0.504,95.437,4,afrobeat,energetic,0.17346500000000004,Quémalo by Jungle Fire with mood energetic
12366,3SOFIKZU7q9I7ARU5Mowlu,my little airport,介乎法國與旺角的詩意,社會主義青年,32,142616,False,0.728,0.425,5,-10.725,1,0.141,0.412,0.0173,0.139,0.713,144.119,4,cantopop,calm,0.038194000000000006,社會主義青年 by my little airport with mood calm
41637,7gOVxn8jQX8rhBYcKfMtBn,Within Temptation,Black Symphony,The Truth Beneath The Rose,22,442773,False,0.227,0.867,3,-6.857,0,0.063,0.00189,3.52e-06,0.959,0.191,119.487,4,goth,energetic,0.44216999999999995,The Truth Beneath The Rose by Within Temptation with mood energetic
95738,2xeLXlxDzCgIt2l6F7Q6qI,Manolito y Su Trabuco,Contra Todos los Pronósticos,Te Quise de Más,28,331386,False,0.437,0.807,0,-7.515,1,0.0352,0.585,0.00295,0.0626,0.909,163.402,4,salsa,happy,0.05473000000000003,Te Quise de Más by Manolito y Su Trabuco with mood happy
70585,6odiUPjUgSSdqTJEcF9uEs,Victor Wong,愛到無可救藥,我以為,55,298426,False,0.479,0.657,8,-6.294,1,0.032,0.65,0.0,0.115,0.238,76.966,4,mandopop,neutral,0.31909300000000007,我以為 by Victor Wong with mood neutral
60299,2mArUZZuEWXm1cgkTipfkd,Mavado,Mr. Brooks...A Better Tomorrow,Don't Worry,24,234080,False,0.453,0.64,1,-6.996,0,0.269,0.0416,0.0,0.322,0.347,77.703,4,j-dance,neutral,0.20680900000000005,Don't Worry by Mavado with mood neutral
70673,6IiNb2jhlDKd2djOqfw6v3,Xian Zi,電視劇《陪你到世界之巔》音樂原聲帶,天空之外 (電視劇《陪你到世界之巔》片尾曲),38,297948,False,0.538,0.508,3,-6.993,1,0.033,0.275,1.72e-06,0.106,0.166,80.045,4,mandopop,neutral,0.41042,天空之外 (電視劇《陪你到世界之巔》片尾曲) by Xian Zi with mood neutral
33018,2yZax79pOrYuyIFVW2cZY2,XXXTENTACION,17,Carry On,75,129720,True,0.735,0.197,3,-13.378,0,0.537,0.768,0.000276,0.296,0.383,147.899,4,emo,sad,0.336298,Carry On by XXXTENTACION with mood sad
38282,3VTbcgkpDZ0Dn1dBEY8CxJ,Pist Idiots,Idiocracy,She Yells Jack,31,243467,True,0.514,0.772,0,-5.037,1,0.029,0.00535,0.000116,0.368,0.64,134.073,4,garage,happy,0.055184000000000025,She Yells Jack by Pist Idiots with mood happy
752,1TRIYxcVJYPki5AX2hZzZT,Luther Allison,Bad News Is Coming,Bad News Is Coming,52,445533,False,0.639,0.496,1,-6.844,0,0.0375,0.713,0.254,0.0545,0.467,140.394,3,acoustic,neutral,0.12170500000000001,Bad News Is Coming by Luther Allison with mood neutral
112490,7glq8W06XgN56OSvDRitjw,No.1,Beklerken Durakta,Beklerken Durakta,41,237296,True,0.695,0.892,9,-5.126,0,0.0641,0.00774,2.27e-05,0.318,0.519,115.36,4,turkish,energetic,0.16422500000000004,Beklerken Durakta by No.1 with mood energetic
60906,7oNkfgXQ8vkprDPQFDsxUS,Popcaan;Louie Vito,New Money - Single,New Money,20,173333,True,0.494,0.63,7,-7.543,1,0.344,0.104,0.0,0.167,0.667,179.304,5,j-dance,happy,0.018589000000000005,New Money by Popcaan;Louie Vito with mood happy
78989,2DIoPe6gRrtIkEsQl8SJWj,Isi Glück,"Saufen morgens, mittags, abends - Die Party",Ich will zurück zu dir (Hände hoch Malle) - Voodoo Mix,22,203301,False,0.808,0.729,6,-4.238,1,0.0996,0.109,0.0,0.388,0.308,129.965,4,party,energetic,0.2587050000000001,Ich will zurück zu dir (Hände hoch Malle) - Voodoo Mix by Isi Glück with mood energetic
39872,4oHrsUp994XKgvIoaLqZox,K.I.Z,Und das Geheimnis der unbeglichenen Bordellrechnung,Fledermausmane,38,46753,True,0.663,0.865,5,-8.28,1,0.294,0.558,0.0,0.712,0.241,78.294,4,german,energetic,0.3827060000000001,Fledermausmane by K.I.Z with mood energetic
26286,3qT31z2vXWObgwPkGDThmr,The Jud Conlon Chorus,Peter Pan (Original Motion Picture Soundtrack),"Home Again / Mermaids, Pirates, and Indians / FInale (You Can Fly! You Can Fly! You Can Fly!)",25,130013,False,0.308,0.174,2,-13.869,1,0.0437,0.919,0.00442,0.0685,0.225,96.429,3,disney,sad,0.512101,"Home Again / Mermaids, Pirates, and Indians / FInale (You Can Fly! You Can Fly! You Can Fly!) by The Jud Conlon Chorus with mood sad"
18647,3Wmps19FJ0i41CxZx9EOMT,Kathleen Madigan,Bothering Jesus,"Malaysian Flt 370, Pt. 1",22,175595,False,0.568,0.849,5,-7.199,0,0.598,0.759,0.0,0.89,0.555,74.756,3,comedy,energetic,0.122026,"Malaysian Flt 370, Pt. 1 by Kathleen Madigan with mood energetic"
20554,2P4OICZRVAQcYAV2JReRfj,Avicii,Stories,Waiting For Love,81,230613,False,0.579,0.736,6,-3.863,0,0.0527,0.31,0.0,0.198,0.613,127.999,4,dance,happy,0.053465000000000026,Waiting For Love by Avicii with mood happy
30162,1QQ1Dx8dcLgWvUaY5fk84y,Zeus X Crona;Julius Dreisig,Invisible,Invisible,67,201015,False,0.682,0.836,2,-3.259,1,0.354,0.141,0.0383,0.0891,0.224,82.53,4,edm,energetic,0.38747200000000004,Invisible by Zeus X Crona;Julius Dreisig with mood energetic
4730,2ZUEopklc3lUm4OXUPB6WS,Bethel Music;Brandon Lake,Too Good To Not Believe (Live),Too Good To Not Believe - Live,55,633462,False,0.355,0.734,0,-8.221,1,0.0509,0.00177,0.0,0.0965,0.237,143.964,4,ambient,energetic,0.3349250000000001,Too Good To Not Believe - Live by Bethel Music;Brandon Lake with mood energetic
7647,3h2JRCgyhaYnFXDayKFrbH,Alison Krauss & Union Station,Live,"We Hide & Seek - Live From The Louisville Palace, Kentucky / 2002",22,341053,False,0.362,0.761,7,-8.384,1,0.0362,0.356,0.113,0.683,0.398,135.318,4,bluegrass,energetic,0.18752500000000003,"We Hide & Seek - Live From The Louisville Palace, Kentucky / 2002 by Alison Krauss & Union Station with mood energetic"
50727,5KRd0i4aLDetJLPm8Nnd5N,Asspera,Live in Villa la Verga,Ya No Sos Igual (En Vivo),20,210493,False,0.315,0.939,5,-3.902,1,0.0809,3.32e-05,0.86,0.972,0.549,133.659,4,heavy-metal,energetic,0.17792199999999997,Ya No Sos Igual (En Vivo) by Asspera with mood energetic
107935,4yuojyGFULi2gMx3Ms5z9f,Ole Ole,Cuatro Hombres Para Eva,"Quizás, quizás, quizás",23,181000,False,0.629,0.701,1,-11.94,1,0.0495,0.00205,3.88e-05,0.0692,0.753,123.944,4,synth-pop,happy,0.012410000000000001,"Quizás, quizás, quizás by Ole Ole with mood happy"
25096,6HWDLIy67pLWRpUv7lNsp9,Culture Club,Karneval 2022 100%,Karma Chameleon - Remastered 2002,0,256200,False,0.631,0.867,10,-2.207,1,0.036,0.237,0.0,0.12,0.916,92.136,4,disco,happy,0.084745,Karma Chameleon - Remastered 2002 by Culture Club with mood happy
61403,1P8XDdN12CndYWcNikq1MJ,NEO JAPONISM,NEO JAPONISM,Fight For The Right,47,262973,False,0.605,0.94,1,-2.645,0,0.141,0.00064,2.23e-05,0.19,0.52,149.914,4,j-idol,energetic,0.194,Fight For The Right by NEO JAPONISM with mood energetic
24898,3fOaW3trYfiqyexH3gGuUK,Terrence Parker;Cevin Fisher,Defected In The House Radio Show Episode 019 (hosted by Sam Divine),Saved Forever (C2 Mix) / The Way We Used To (Accapella) - Mixed,6,288771,False,0.797,0.924,6,-7.007,0,0.0336,0.000305,0.677,0.264,0.924,123.006,4,detroit-techno,happy,0.12035200000000004,Saved Forever (C2 Mix) / The Way We Used To (Accapella) - Mixed by Terrence Parker;Cevin Fisher with mood happy
33978,7ckHdXuXb0HuEbmTELzpeb,Hasan,Prototyp,Zítra,34,164776,False,0.724,0.56,6,-14.134,0,0.0599,0.13,0.24,0.642,0.412,122.05,4,emo,neutral,0.15214400000000003,Zítra by Hasan with mood neutral
35014,3QVqZqey3hxjKCqnHA3C2x,Biu do Piseiro,Biu do Piseiro - Até o Talo (Ao Vivo),Tremidinha - Ao Vivo,51,138857,False,0.736,0.978,4,-2.674,1,0.0409,0.345,0.0,0.616,0.971,140.071,4,forro,happy,0.17212499999999997,Tremidinha - Ao Vivo by Biu do Piseiro with mood happy
41135,0vqHMVuDPvx8J6JhtzadYM,Håkan Hellström,Brinner in the shit,Brinner in the shit,32,255200,True,0.503,0.86,2,-4.634,1,0.0526,0.00132,0.00593,0.0942,0.357,129.967,4,goth,energetic,0.26384900000000006,Brinner in the shit by Håkan Hellström with mood energetic
19999,0Npdhq5RUQ3C5clbzOZmtQ,Lasse Stefanz,I ett fotoalbum,I ett fotoalbum,42,181946,False,0.593,0.555,0,-9.865,1,0.0254,0.483,0.0,0.0937,0.648,81.986,4,country,calm,0.025129,I ett fotoalbum by Lasse Stefanz with mood calm
51083,6Kynli1iHBqJRWUCohcV9h,DIVINE,Kaam 25 (Sacred Games),Kaam 25 - Sacred Games,66,149524,False,0.484,0.948,1,-4.296,0,0.451,0.0473,0.0,0.0565,0.686,125.645,5,hip-hop,happy,0.1341,Kaam 25 - Sacred Games by DIVINE with mood happy
11982,4tXr9v3K7nWW1aebWqR1B7,The Rolling Stones,Bridges To Babylon (Remastered),Anybody Seen My Baby? - Remastered,62,271160,False,0.605,0.742,4,-4.363,0,0.0327,0.00286,0.00105,0.256,0.47,105.04,4,british,energetic,0.12906400000000007,Anybody Seen My Baby? - Remastered by The Rolling Stones with mood energetic
73583,0BPRFOn6oBjFTrqKXa02eX,burger/ink,[las vegas],Flesh & Bleed,20,283466,False,0.664,0.452,11,-15.486,1,0.0367,0.325,0.857,0.165,0.444,101.777,4,minimal-techno,neutral,0.14864,Flesh & Bleed by burger/ink with mood neutral
83899,7hoE6tBvjppcNyVQEaLoKc,Jerome Isma-Ae,Wake Your Mind Radio 444,Smile When You Kill Me 2015 (Throwback) [WYM444],10,225415,False,0.667,0.839,6,-8.114,0,0.0391,0.00645,0.181,0.657,0.0389,127.992,4,progressive-house,energetic,0.63639421,Smile When You Kill Me 2015 (Throwback) [WYM444] by Jerome Isma-Ae with mood energetic
17569,4lCjq7OxoVJzdbHmLpT1Bd,Starfarer,A New Horizon,A New Horizon,17,278787,False,0.359,0.575,0,-10.779,1,0.0342,0.00891,0.938,0.106,0.21,198.031,4,club,neutral,0.34872500000000006,A New Horizon by Starfarer with mood neutral
17239,4WiKM50TuDoLBYPNDTfbes,Linn da Quebrada;Pepita,Pajubá,Dedo Nucué,24,242197,False,0.88,0.836,0,-5.193,0,0.0736,0.231,1.21e-06,0.526,0.596,130.025,4,club,energetic,0.09731200000000002,Dedo Nucué by Linn da Quebrada;Pepita with mood energetic
27446,34maIGRjIF2bgvcKibFmsy,Neonlight,Audio Presents RAMlife Drum & Bass,Heavy Bettie VIP,18,337886,False,0.685,0.936,7,-2.243,1,0.0932,0.000411,0.764,0.0917,0.194,174.024,4,drum-and-bass,energetic,0.48013200000000017,Heavy Bettie VIP by Neonlight with mood energetic
28666,5f1qCD8JhSU1frlTwk6hHW,Rob Gasser;Laura Brehm,Vertigo,Vertigo,45,227852,False,0.504,0.911,7,-3.919,0,0.0396,0.0375,0.0,0.323,0.606,174.076,4,dub,happy,0.13435700000000006,Vertigo by Rob Gasser;Laura Brehm with mood happy
107013,15MJ5NThPjj6xhPcts8MiY,Berlin,Top Gun - Motion Picture Soundtrack (Special Expanded Edition),"Take My Breath Away - Love Theme from ""Top Gun""",76,255733,False,0.497,0.719,6,-9.397,1,0.0266,0.0613,0.0,0.411,0.547,95.769,4,synth-pop,energetic,0.07816999999999999,"Take My Breath Away - Love Theme from ""Top Gun"" by Berlin with mood energetic"
91366,3RJLtCGaNscT6SBfuIvlQE,Bryan Adams,80s Bangers Vol. 2,Run To You,1,233373,False,0.559,0.863,4,-4.704,1,0.0267,0.00229,8.29e-06,0.201,0.646,126.417,4,rock,happy,0.09288500000000002,Run To You by Bryan Adams with mood happy
69732,1KoVdUNBYZkjSQves13B4C,Job Kurian,Thaalam,Thaalam - Version 2,21,345533,False,0.323,0.333,3,-10.069,0,0.0316,0.862,1.87e-06,0.151,0.297,170.073,4,malay,sad,0.3242980000000001,Thaalam - Version 2 by Job Kurian with mood sad
36069,5vOUYERtWnw7CfrxktLrK2,Lonely in the Rain;Panama,Feel This Way,Feel This Way,65,220645,False,0.757,0.405,10,-13.709,1,0.117,0.528,0.126,0.1,0.0537,124.014,4,french,neutral,0.5949886900000001,Feel This Way by Lonely in the Rain;Panama with mood neutral
44376,4LFBVDJV0xpayUvquQVzhS,Shinedown,Threat to Survival,Cut the Cord,67,224596,False,0.447,0.966,7,-2.966,1,0.089,0.00349,0.000198,0.312,0.533,178.105,4,grunge,energetic,0.205245,Cut the Cord by Shinedown with mood energetic
64911,0aWMVrwxPNYkKmFthzmpRi,Miles Davis;John Coltrane;Bill Evans,Kind Of Blue (Legacy Edition),Blue in Green (feat. John Coltrane & Bill Evans),63,337733,False,0.421,0.0162,2,-25.358,0,0.0388,0.808,0.0024,0.0978,0.154,110.479,4,jazz,sad,0.75813844,Blue in Green (feat. John Coltrane & Bill Evans) by Miles Davis;John Coltrane;Bill Evans with mood sad
113380,7GI4rfvBq7dxCktVuMRnSH,Hillsong Worship,A Beautiful Exchange (Live),Forever Reign,43,343893,False,0.172,0.599,0,-7.63,1,0.0332,0.188,0.00019,0.339,0.0687,83.016,4,world-music,neutral,0.5348006900000001,Forever Reign by Hillsong Worship with mood neutral
90982,6Xlnhht2brHigHH9qaXMQW,Los Teen Tops,La Gran Coleccion Del 60 Aniversario CBS - Los Teen Tops,Pensaba en Ti,28,203893,False,0.492,0.319,9,-11.747,1,0.0319,0.703,0.0,0.125,0.536,108.385,3,rock-n-roll,calm,0.14865699999999998,Pensaba en Ti by Los Teen Tops with mood calm
38261,4V1fFZJij2G72iELt517X0,The Fratellis,We Need Medicine,She's Not Gone Yet but She's Leaving,22,230200,False,0.649,0.842,11,-6.14,0,0.0352,0.00109,6.7e-06,0.386,0.849,120.085,4,garage,happy,0.06096499999999999,She's Not Gone Yet but She's Leaving by The Fratellis with mood happy
45716,2dKNF0EYNtLbUlgLhWwjsG,Little Symphony,Coco Beach,Norbourn,47,112000,False,0.19,0.161,2,-20.719,1,0.0385,0.901,0.97,0.77,0.0809,113.881,3,guitar,sad,0.70982581,Norbourn by Little Symphony with mood sad
40606,4N4rKm6cAmSYQwuKV71YmS,Oficina G3,Cego,Cego,40,195428,False,0.299,0.968,2,-3.291,1,0.121,0.00165,0.000498,0.306,0.299,104.882,3,gospel,energetic,0.3864250000000001,Cego by Oficina G3 with mood energetic
39627,17YdS7kMSfxpmSeGo0cjn8,Kasalla,Mer sin Eins,Dausend Levve,42,256946,False,0.626,0.777,2,-4.761,0,0.0291,0.0953,0.0,0.0812,0.737,120.004,3,german,happy,0.035298000000000024,Dausend Levve by Kasalla with mood happy
2521,2GJ1xx5ZoeIJYbQKLSpoZ3,Skillet,Victorious,Finish Line,64,206060,False,0.53,0.803,5,-5.031,0,0.0386,0.0545,0.0,0.316,0.565,80.992,4,alt-rock,energetic,0.09643400000000008,Finish Line by Skillet with mood energetic
113412,5pNavG44Qct8Vm5vQDDxYF,for KING & COUNTRY,Crave,The Proof of Your Love,53,197320,False,0.396,0.671,0,-6.953,0,0.0351,0.0984,0.0,0.0844,0.257,156.072,4,world-music,neutral,0.29989000000000005,The Proof of Your Love by for KING & COUNTRY with mood neutral
22119,45qJpIryGAyshvMJykZz7N,Hellcrust,Kalamaut,Kalamaut,28,95013,True,0.275,0.981,1,-5.156,0,0.0998,0.655,0.777,0.294,0.0568,114.848,4,death-metal,energetic,0.6975072400000001,Kalamaut by Hellcrust with mood energetic
81262,1XSSm7oKOzNE8oUapjIRWV,Tanishk Bagchi;Gippy Grewal;Zahrah S Khan;Romy;Abrar Ul Haq,"The Punjaabban Song (From ""Jugjugg Jeeyo"")","The Punjaabban Song (From ""Jugjugg Jeeyo"")",70,199029,False,0.779,0.964,10,-2.888,0,0.0995,0.0858,1.46e-05,0.676,0.613,139.241,4,pop,happy,0.16746500000000003,"The Punjaabban Song (From ""Jugjugg Jeeyo"") by Tanishk Bagchi;Gippy Grewal;Zahrah S Khan;Romy;Abrar Ul Haq with mood happy"
82888,5usqAd5N9BgRJhM93KCxbq,The Lemonheads,It's A Shame About Ray (Expanded Edition),Kitchen - Demo Version,20,192386,False,0.501,0.268,7,-14.772,1,0.0319,0.911,0.0505,0.13,0.682,81.807,4,power-pop,calm,0.12414799999999998,Kitchen - Demo Version by The Lemonheads with mood calm
9941,4JC9oW25aChBHuzlillvkh,Gabriel Guedes de Almeida,My Sessions,Oceanos,43,283596,False,0.51,0.204,7,-12.534,1,0.0338,0.967,0.00681,0.0748,0.188,120.05,4,brazil,sad,0.53136,Oceanos by Gabriel Guedes de Almeida with mood sad
710,5msvkAkQ8o2GhNxOu3YW5D,Hanare Gumi,深呼吸,別れの予感,28,274133,False,0.63,0.367,1,-11.054,1,0.0232,0.052,0.000202,0.103,0.547,98.995,4,acoustic,calm,0.11829799999999999,別れの予感 by Hanare Gumi with mood calm
50347,14t2G0PLXZb6FsB0btsley,Hermetica,Lo Último (En Vivo),Vientos del Poder - En Vivo,25,256105,False,0.333,0.96,4,-8.922,0,0.0773,7.36e-05,0.0319,0.787,0.566,100.1,4,heavy-metal,energetic,0.18435600000000005,Vientos del Poder - En Vivo by Hermetica with mood energetic
